Kod,Nazev,Kategorie
A378,Dávivý kašel‚ původce: jiný určený druh Bordetelly,"Záněty průdušnice, průdušek a průdušinek"
A379,Dávivý kašel NS,"Záněty průdušnice, průdušek a průdušinek"
A38,Spála [scarlatina],Infekční a parazitární nemoci nezařazené jinde
A39,Meningokokové infekce,
A390,Meningokoková meningitida (G01*),Infekční onemocnění nervové soustavy
A391,Waterhauseův–Friderichsenův syndrom (E35.1*),Sepse
A392,Akutní meningokoková sepse,Sepse
A393,Chronická meningokoková sepse,Sepse
A394,Meningokoková sepse NS,Sepse
A395,Meningokoková onemocnění srdce,Nemoci myokardu
A398,Jiné meningokokové infekce,Sepse
A399,Meningokoková infekce NS,Infekční a parazitární nemoci nezařazené jinde
A40,Streptokoková sepse,
A400,Sepse‚ způsobená Streptokoky skupiny A,Sepse
A401,Sepse‚ způsobená Streptokoky skupiny B,Sepse
A402,"Sepse, způsobená Streptokoky skupiny D a enterokoky",Sepse
A403,Sepse‚ původce: Streptococcus pneumoniae,Sepse
A408,Jiná streptokoková sepse,Sepse
A409,Streptokoková sepse NS,Sepse
A41,Jiná sepse,
A410,Sepse‚ původce: Staphylococcus aureus,Sepse
A411,Sepse‚ způsobená jinými určenými stafylokoky,Sepse
A412,Sepse‚ způsobená neurčeným stafylokokem,Sepse
A413,Sepse‚ původce: Haemophilus influenzae,Sepse
A414,Sepse‚ způsobená anaeroby,Sepse
A415,Sepse‚ způsobená jinými gramnegativními organismy,Sepse
A418,Jiné určené sepse,Sepse
A419,Sepse NS,Sepse
A42,Aktinomykóza – actinomycosis,
A420,Plicní aktinomykóza,Záněty plic
A421,Břišní aktinomykóza,Střevní infekční nemoci
A422,Cervikofaciální aktinomykóza,Onemocnění kůže způsobená mikroorganismy a parazity
A427,Aktinomykotická sepse,Sepse
A428,Jiné formy aktinomykózy,Infekční a parazitární nemoci nezařazené jinde
A429,Aktinomykóza NS,Infekční a parazitární nemoci nezařazené jinde
A43,Nokardióza [nocardiosis],
A430,Plicní nokardióza,Záněty plic
A431,Kožní nokardióza,Onemocnění kůže způsobená mikroorganismy a parazity
A438,Jiné formy nokardiózy,Infekční a parazitární nemoci nezařazené jinde
A439,Nokardióza NS,Infekční a parazitární nemoci nezařazené jinde
A44,Bartonelóza [bartonellosis],
A440,Bartonelóza systémová,Infekční a parazitární nemoci nezařazené jinde
A441,Bartonelóza kožní a mukokutánní,Infekční a parazitární nemoci nezařazené jinde
A448,Jiné formy bartonelózy,Infekční a parazitární nemoci nezařazené jinde
A449,Bartonelóza NS,Infekční a parazitární nemoci nezařazené jinde
A46,Růže – erysipel,Onemocnění kůže způsobená mikroorganismy a parazity
A48,Jiné bakteriální nemoci nezařazené jinde,
A480,Plynatá sněť,Sepse
A481,Legionářská nemoc,Záněty plic
A482,Nepneumonická legionářská nemoc (pontiacká horečka),Infekční a parazitární nemoci nezařazené jinde
A483,Syndrom toxického šoku,Sepse
A484,Brazilská purpurová horečka,Infekční a parazitární nemoci nezařazené jinde
A488,Jiné určené bakteriální nemoci,Infekční a parazitární nemoci nezařazené jinde
A49,Bakteriální infekce neurčené lokalizace,
A490,Stafylokoková infekce neurčené lokalizace,Infekční a parazitární nemoci nezařazené jinde
A491,Streptokoková a enterokoková infekce neurčené lokalizace,Infekční a parazitární nemoci nezařazené jinde
A492,Infekce‚ původce: Haemophilus influenzae neurčené lokalizace,Infekční a parazitární nemoci nezařazené jinde
A493,Mykoplazmová infekce neurčené lokalizace,Infekční a parazitární nemoci nezařazené jinde
A498,Jiné bakteriální infekce neurčené lokalizace,Infekční a parazitární nemoci nezařazené jinde
A499,Bakteriální infekce NS,Infekční a parazitární nemoci nezařazené jinde
A50,Vrozená syfilis,
A500,"Časná vrozená syfilis, symptomatická",Sepse
A501,Časná vrozená syfilis‚ latentní,Infekční a parazitární nemoci nezařazené jinde
A502,Časná vrozená syfilis NS,Sepse
A503,Pozdní vrozená syfilitická okulopatie,Infekční a parazitární nemoci nezařazené jinde
A504,Pozdní vrozená neurosyfilis (juvenilní neurosyfilis),Infekční onemocnění nervové soustavy
A505,Jiná pozdní vrozená syfilis (symptomatická),Infekční a parazitární nemoci nezařazené jinde
A506,Pozdní vrozená syfilis‚ latentní,Infekční a parazitární nemoci nezařazené jinde
A507,Pozdní vrozená syfilis NS,Infekční a parazitární nemoci nezařazené jinde
A509,Vrozená syfilis NS,Infekční a parazitární nemoci nezařazené jinde
A51,Časná syfilis,
A510,Primární genitální syfilis,Záněty mužské reprodukční soustavy
A511,Primární anální syfilis,Střevní infekční nemoci
A512,Primární syfilis‚ jiné lokalizace,Infekční a parazitární nemoci nezařazené jinde
A513,Sekundární syfilis kůže a sliznic,Onemocnění kůže způsobená mikroorganismy a parazity
A514,Jiná sekundární syfilis,Střevní infekční nemoci
A515,Časná syfilis‚ latentní,Infekční a parazitární nemoci nezařazené jinde
A519,Časná syfilis NS,Infekční a parazitární nemoci nezařazené jinde
A52,Pozdní syfilis,
A520,Kardiovaskulární syfilis,Jiné nemoci a poruchy oběhové soustavy
A521,Symptomatická neurosyfilis,Infekční onemocnění nervové soustavy
A522,Asymptomatická neurosyfilis,Infekční onemocnění nervové soustavy
A523,Neurosyfilis NS,Infekční onemocnění nervové soustavy
A527,Jiná pozdní syptomatická syfilis,Infekční a parazitární nemoci nezařazené jinde
A528,Pozdní syfilis‚ latentní,Infekční a parazitární nemoci nezařazené jinde
A529,Pozdní syfilis NS,Infekční a parazitární nemoci nezařazené jinde
A53,Jiná a nespecifikovaná syfilis,
A530,Latentní syfilis nespecifikovaná jako časná nebo pozdní,Infekční a parazitární nemoci nezařazené jinde
A539,Syfilis NS,Infekční a parazitární nemoci nezařazené jinde
A54,Gonokoková infekce,
A540,Gonok. inf. dol. pohl. a moč.ústr. bez abscesu periuret. a přídat.žláz,Záněty mužské reprodukční soustavy
A541,Gonok. inf. dol. pohl. a moč. ústr. s abscesem periuret. a příd. žláz,Záněty mužské reprodukční soustavy
A542,Gonok. pelviperitonitida a jiné gonok. inf. ústr. pohl.a močového,Záněty mužské reprodukční soustavy
A543,Gonokoková infekce oka,Zánětlivá onemocnění očních adnex a očnice
A544,Gonokoková infekce svalové a kosterní soustavy,Infekční onemocnění kloubů
A545,Gonokoková faryngitida,"Záněty horních cest dýchacích, hltanu a hrtanu"
A546,Gonokoková infekce anu a rekta,Střevní infekční nemoci
A548,Jiné gonokokové infekce,Sepse
A549,Gonokoková infekce NS,Infekční a parazitární nemoci nezařazené jinde
A55,Venerický lymfogranulom (chlamydiový),Záněty mužské reprodukční soustavy
A56,Jiná chlamydiová onemocnění přenášená pohlavním stykem,
A560,Chlamydiová infekce dolního pohlavního a močového ústrojí,Záněty mužské reprodukční soustavy
A561,Chlamydiová infekce pelviperitonea a jiných pohl. a moč. orgánů,Záněty močových cest
A562,Chlamydiová infekce pohlavního a močového ústrojí NS,Záněty mužské reprodukční soustavy
A563,Chlamydiová infekce řiti a konečníku,Střevní infekční nemoci
A564,Chlamydiová infekce hltanu,"Záněty horních cest dýchacích, hltanu a hrtanu"
A568,"Jiná chlamydiová onem. přenáš. pohl. stykem, v jiných lokalizacích",Záněty mužské reprodukční soustavy
A57,Měkký vřed – chankroid,Záněty mužské reprodukční soustavy
A58,Granuloma inguinale,Záněty mužské reprodukční soustavy
A59,Trichomoniáza,
A590,Trichomoniáza urogenitální,Záněty mužské reprodukční soustavy
A598,Trichomoniáza jiných lokalizací,Infekční a parazitární nemoci nezařazené jinde
A599,Trichomoniáza NS,Záněty mužské reprodukční soustavy
A60,Anogenitální herpetické infekce,
A600,Infekce močového a pohlavního ústrojí‚ původce: Herpes simplex,Záněty mužské reprodukční soustavy
A601,Herpetické infekce perianální kůže a konečníku,Záněty mužské reprodukční soustavy
A609,Anogenitální herpetická infekce NS,Záněty mužské reprodukční soustavy
A63,"Jiné, převážně pohlavním stykem přenášené nemoci nezařazené jinde",
A630,Anogenitální (venerické) bradavice,Onemocnění kůže způsobená mikroorganismy a parazity
A638,Jiné určené nemoci přenášené převážně sexuálně,Záněty mužské reprodukční soustavy
A64,Pohlavním stykem přenášené nemoci NS,Záněty mužské reprodukční soustavy
A65,Nevenerická syfilis,Infekční a parazitární nemoci nezařazené jinde
A66,Frambézie,
A660,Počáteční frambéziové poškození,Onemocnění kůže způsobená mikroorganismy a parazity
A661,Mnohočetné frambéziové papilomy a vlhké kožní afekce,Onemocnění kůže způsobená mikroorganismy a parazity
A662,Jiná čerstvá frambéziová poškození kůže,Onemocnění kůže způsobená mikroorganismy a parazity
A663,Hyperkeratóza při frambézii,Onemocnění kůže způsobená mikroorganismy a parazity
A664,Frambéziová gumata a vředy,Onemocnění kůže způsobená mikroorganismy a parazity
A665,Gangóza,Onemocnění kůže způsobená mikroorganismy a parazity
A666,Frambéziová poškození kostí a kloubů,Infekční onemocnění kloubů
A667,Jiné projevy frambézie,Infekční a parazitární nemoci nezařazené jinde
A668,Latentní frambézie,Infekční a parazitární nemoci nezařazené jinde
A669,Frambézie NS,Infekční a parazitární nemoci nezařazené jinde
A67,Pinta,
A670,Časné léze pinty,Onemocnění kůže způsobená mikroorganismy a parazity
A671,Středně pokročilé léze pinty,Onemocnění kůže způsobená mikroorganismy a parazity
A672,Pozdní poškození při pintě,Infekční a parazitární nemoci nezařazené jinde
A673,Smíšená poškození při pintě,Onemocnění kůže způsobená mikroorganismy a parazity
A679,Pinta NS,Infekční a parazitární nemoci nezařazené jinde
A68,Návratná horečka [febris recurrens],
A680,Návratná horečka‚ přenášená vší,Infekční a parazitární nemoci nezařazené jinde
A681,Návratná horečka‚ přenášená klíšťaty,Infekční a parazitární nemoci nezařazené jinde
A689,Návratná horečka NS,Infekční a parazitární nemoci nezařazené jinde
A69,Jiné spirochetové infekce,
A690,Nekrotizující ulcerativní stomatitida,"Záněty úst, ústní dutiny a čelisti"
A691,Jiné Vincentovy infekce,"Záněty horních cest dýchacích, hltanu a hrtanu"
A692,Lymeská nemoc,Infekční a parazitární nemoci nezařazené jinde
A698,Jiné určené spirochetové infekce,Infekční a parazitární nemoci nezařazené jinde
A699,Spirochetové infekce NS,Infekční a parazitární nemoci nezařazené jinde
A70,Infekce původce: Chlamydia psittaci,Infekční a parazitární nemoci nezařazené jinde
A71,Trachom,
A710,Počáteční stadium trachomu,Zánětlivá onemocnění oka
