Kod,Nazev,Kategorie
Y1691,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.; NS místo; volný čas",
Y1692,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.; NS místo;výděl.činnost",
Y1693,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.; NS místo; jiné práce",
Y1694,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.; NS místo; odpoč.,jídlo",
Y1698,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.;NS místo;j.urč.činnosti",
Y1699,"Otr.org.rozp.,halog.uhlov.,jej.parami‚nezj.úm.; NS místo; NS činnosti",
Y17,"Otrava oxidem uheln.a jin.plyny,parami a expoz.jej.půs.,nezjišt.úmyslu",
Y170,"Otrava oxid.uhelnatým - výfuk.plynem ze spal.motorů,nezjišt.úmyslu",
Y1700,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu; domov",
Y1701,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu; obyt.inst.",
Y1702,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;školy,úřady",
Y1703,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;sportoviště",
Y1704,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;ulice,siln.",
Y1705,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;obch.,služ.",
Y1706,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu; prům.obj.",
Y1707,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;zemědělství",
Y1708,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu;j.urč.místa",
Y1709,"Otrava oxid.uheln.-výfuk.plynem ze spal.motorů,nezj.úmyslu; NS místo",
Y171,"Otrava oxid.uhelnatým - techn.plynem a expoz.j.půs.,nezjišt.úmyslu",
Y1710,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; domov",
Y1711,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; obyt.instit.",
Y1712,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; školy, úřady",
Y1713,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; sportoviště",
Y1714,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; ulice, siln.",
Y1715,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; obch.,služby",
Y1716,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; prům.objekty",
Y1717,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; zemědělství",
Y1718,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; j.urč.místa",
Y1719,"Otrava oxid.uheln.-techn.plynem,expoz.j.půs.,nezj.úmyslu; NS místo",
Y172,"Otrava oxid.uheln.z jin.domácích paliv, expoz.jeho půs.,nezjišt.úmyslu",
Y1720,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; domov",
Y1721,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; obyt.instit.",
Y1722,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; školy, úřady",
Y1723,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; sportoviště",
Y1724,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; ulice, siln.",
Y1725,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; obch.,služby",
Y1726,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; prům.objekty",
Y1727,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; zemědělství",
Y1728,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; j.urč.místa",
Y1729,"Otrava oxid.uheln.z jin.dom.paliv,exp.j.půs.,nezj.úmyslu; NS místo",
Y173,"Otrava oxidem uhelnatým z jin.zdrojů a expoz.jeho půs.,nezjišt.úmyslu",
Y1730,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; domov",
Y1731,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; obyt.instit.",
Y1732,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; školy, úřady",
Y1733,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; sportoviště",
Y1734,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; ulice, siln.",
Y1735,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; obch., služby",
Y1736,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; prům.objekty",
Y1737,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; zemědělství",
Y1738,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu;jiná urč.místa",
Y1739,"Otrava oxid.uheln.z jin.zdrojů,expoz.j.půs.,nezj.úmyslu; NS místo",
Y174,"Otrava oxid.uhelnatým z neurč.zdrojů a expoz.jeho půs., nezjišt.úmyslu",
Y1740,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; domov",
Y1741,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; obyt.instituce",
Y1742,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; školy, úřady",
Y1743,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; sportoviště",
Y1744,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; ulice, silnice",
Y1745,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; obchody,služby",
Y1746,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; prům.objekty",
Y1747,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; zemědělství",
Y1748,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; jiná urč.místa",
Y1749,"Otrava oxid.uheln.z NS zdrojů,expoz.j.půs.,nezj.úmyslu; NS místo",
Y178,"Otrava jin.urč.plyny a parami a expozice jejich působ., nezjišt.úmyslu",
Y1780,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; domov",
Y1781,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; obyt.instit.",
Y1782,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; školy, úřady",
Y1783,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; sportoviště",
Y1784,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; ulice, siln.",
Y1785,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; obch.,služby",
Y1786,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; prům.objekty",
Y1787,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; zemědělství",
Y1788,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; j.urč.místa",
Y1789,"Otrava jin.urč.plyny,parami a expoz.jej.půs.,nezj.úmyslu; NS místo",
Y179,"Otrava neurč.plyny a parami a expozice jejich působení, nezjišt.úmyslu",
Y1790,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; domov",
Y1791,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; obyt.instituce",
Y1792,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; školy, úřady",
Y1793,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; sportoviště",
Y1794,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; ulice, silnice",
Y1795,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; obchody,služby",
Y1796,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; prům.objekty",
Y1797,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; zemědělství",
Y1798,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; jiná urč.místa",
Y1799,"Otrava NS plyny,parami a expoz.jej.půs.,nezjišt.úmyslu; NS místo",
Y18,Otrava pesticidy a expozice jejich působení‚ nezjištěného úmyslu,
Y180,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov,
Y1800,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; sport,
Y1801,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; volný čas,
Y1802,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; výdělečná činnost,
Y1803,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; jiné práce,
Y1804,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; odpočinek, jídlo",
Y1808,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; jiné urč.činnosti,
Y1809,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; domov; NS činnosti,
Y181,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; obytná instituce,
Y1810,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; sport,
Y1811,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; volný čas,
Y1812,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.;výděl.činnost,
Y1813,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; jiné práce,
Y1814,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; odpoč.,jídlo",
Y1818,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; j.urč.činn.,
Y1819,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obyt.instit.; NS činnosti,
Y182,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady",
Y1820,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady; sport",
Y1821,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady; volný čas",
Y1822,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy,úřady;výděl.činnost",
Y1823,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady; jiné práce",
Y1824,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady;odpoč.,jídlo",
Y1828,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;školy,úřady;j.urč.činnosti",
Y1829,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; školy, úřady; NS činnosti",
Y183,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště,
Y1830,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště; sport,
Y1831,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště; volný čas,
Y1832,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště;výděl.činnost,
Y1833,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště; jiné práce,
Y1834,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště; odpoč.,jídlo",
Y1838,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;sportoviště;j.urč.činnosti,
Y1839,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; sportoviště; NS činnosti,
Y184,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; ulice a silnice,
Y1840,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; sport",
Y1841,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; volný čas",
Y1842,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; výděl.činn.",
Y1843,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; jiné práce",
Y1844,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice;odpoč.,jídlo",
Y1848,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; j.urč.činn.",
Y1849,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;ulice,silnice; NS činnosti",
Y185,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; obchody a služby,
Y1850,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; sport",
Y1851,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; volný čas",
Y1852,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby;výděl.činnost",
Y1853,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; jiné práce",
Y1854,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; odpoč.,jídlo",
Y1858,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; j.urč.činn.",
Y1859,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;obch.,služby; NS činnosti",
Y186,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; průmysl.objekty,
Y1860,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; sport,
Y1861,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; volný čas,
Y1862,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty;výděl.činnost,
Y1863,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; jiné práce,
Y1864,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; odpoč.,jídlo",
Y1868,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; j.urč.činn.,
Y1869,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;prům.objekty; NS činnosti,
Y187,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství,
Y1870,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství; sport,
Y1871,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství; volný čas,
Y1872,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství;výděl.činnost,
Y1873,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství; jiné práce,
Y1874,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství; odpoč.,jídlo",
Y1878,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;zemědělství;j.urč.činnosti,
Y1879,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; zemědělství; NS činnosti,
Y188,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; jiná určená místa,
Y1880,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa; sport,
Y1881,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa; volný čas,
Y1882,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa;výděl.činnost,
Y1883,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa; jiné práce,
Y1884,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa; odpoč.,jídlo",
Y1888,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;j.urč.místa;j.urč.činnosti,
Y1889,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; j.urč.místa; NS činnosti,
Y189,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo,
Y1890,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; sport,
Y1891,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; volný čas,
Y1892,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; výděl.činnost,
Y1893,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; jiné práce,
Y1894,"Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; odpočinek,jídlo",
Y1898,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu;NS místo;jiné urč.činnosti,
Y1899,Otrava pesticidy a exp.jej.půs.‚nezj.úmyslu; NS místo; NS činnosti,
Y19,"Otrava jin.a NS chemikáliemi,škodl.látkami,expoz.j.půs.‚nezjišt.úmyslu",
Y190,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov",
Y1900,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov; sport",
Y1901,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov; volný čas",
Y1902,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov;výdělečná činnost",
Y1903,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov; jiné práce",
Y1904,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov; odpočinek, jídlo",
Y1908,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov;jiné urč.činnosti",
Y1909,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; domov; NS činnosti",
Y191,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; obytná instituce",
Y1910,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; sport",
Y1911,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; volný čas",
Y1912,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.;výděl.činnost",
Y1913,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; jiné práce",
Y1914,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; odpoč.,jídlo",
Y1918,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; j.urč.činn.",
Y1919,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obyt.inst.; NS činnosti",
Y192,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; školy, úřady",
Y1920,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; sport",
Y1921,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; volný čas",
Y1922,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; výděl.činn.",
Y1923,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; jiné práce",
Y1924,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady;odpoč.,jídlo",
Y1928,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; j.urč.činn.",
Y1929,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;školy,úřady; NS činnosti",
Y193,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště",
Y1930,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště; sport",
Y1931,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště; volný čas",
Y1932,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště;výděl.činn.",
Y1933,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště; jiné práce",
Y1934,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;sportoviště;odpoč.,jídlo",
Y1938,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště;j.urč.činn.",
Y1939,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; sportoviště;NS činnosti",
Y194,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; ulice a silnice",
Y1940,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; sport",
Y1941,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; volný čas",
Y1942,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; výděl.činn.",
Y1943,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; jiné práce",
Y1944,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.;odpoč.,jídlo",
Y1948,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; j.urč.činn.",
Y1949,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;ulice,siln.; NS činnosti",
Y195,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; obchody a služby",
Y1950,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; sport",
Y1951,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; volný čas",
Y1952,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; výděl.činn.",
Y1953,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; jiné práce",
Y1954,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.;odpoč.,jídlo",
Y1958,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; j.urč.činn.",
Y1959,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;obch.,služ.; NS činnosti",
Y196,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; průmysl.objekty",
Y1960,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; sport",
Y1961,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; volný čas",
Y1962,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; výděl.činnost",
Y1963,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; jiné práce",
Y1964,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; odpoč., jídlo",
Y1968,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.;j.urč.činnosti",
Y1969,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;prům.obj.; NS činnosti",
Y197,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zemědělství",
Y1970,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zemědělství; sport",
Y1971,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zemědělství; volný čas",
Y1972,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zeměděl.; výděl.činnost",
Y1973,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zemědělství; jiné práce",
Y1974,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;zemědělství;odpoč.,jídlo",
Y1978,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zeměděl.;j.urč.činnosti",
Y1979,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; zemědělství;NS činnosti",
Y198,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; jiná určená místa",
Y1980,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; sport",
Y1981,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; volný čas",
Y1982,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; výděl.činn.",
Y1983,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; jiné práce",
Y1984,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa;odpoč.,jídlo",
Y1988,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; j.urč.činn.",
Y1989,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.;j.urč.místa; NS činnosti",
Y199,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo",
Y1990,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; sport",
Y1991,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; volný čas",
Y1992,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; výděl.činnost",
Y1993,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; jiné práce",
Y1994,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; odpoč., jídlo",
Y1998,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo;j.urč.činnosti",
Y1999,"Otr.jin.a NS chemikáliemi,škod.látk.‚nezj.úm.; NS místo; NS činnosti",
Y20,Oběšení‚ (u)škrcení a (za)dušení‚ nezjištěného úmyslu,
Y200,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov",
Y2000,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; sport",
Y2001,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; volný čas",
Y2002,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; výdělečná činnost",
Y2003,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; jiné práce",
Y2004,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; odpočinek, jídlo",
Y2008,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; jiné určené činnosti",
Y2009,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; domov; NS činnosti",
Y201,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instituce",
Y2010,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instituce; sport",
Y2011,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instituce; volný čas",
Y2012,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instit.;výděl.činnost",
Y2013,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instituce; jiné práce",
Y2014,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instit.; odpoč.,jídlo",
Y2018,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;obytná instit.;j.urč.činnosti",
Y2019,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obytná instituce;NS činnosti",
Y202,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady",
Y2020,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady; sport",
Y2021,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady; volný čas",
Y2022,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady; výděl.činnost",
Y2023,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady; jiné práce",
Y2024,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady;odpočinek,jídlo",
